label,fchollet,farizrahman4u
2015-03-22,6,0
2015-03-29,11,0
2015-04-05,26,0
2015-04-12,19,0
2015-04-19,11,0
2015-04-26,7,0
2015-05-03,14,0
2015-05-10,8,0
2015-05-17,3,0
2015-05-24,10,0
2015-05-31,4,0
2015-06-07,12,0
2015-06-14,15,0
2015-06-21,31,0
2015-06-28,30,0
2015-07-05,19,0
2015-07-12,15,0
2015-07-19,17,0
2015-07-26,4,0
2015-08-02,2,0
2015-08-09,9,0
2015-08-16,14,0
2015-08-23,7,0
2015-08-30,1,0
2015-09-06,10,0
2015-09-13,0,0
2015-09-20,0,1
2015-09-27,0,0
2015-10-04,1,0
2015-10-11,3,0
2015-10-18,2,6
2015-10-25,4,59
2015-11-01,0,1
2015-11-08,9,9
2015-11-15,15,1
2015-11-22,18,14
2015-11-29,28,0
2015-12-06,28,5
2015-12-13,19,33
2015-12-20,17,0
2015-12-27,5,0
2016-01-03,10,3
2016-01-10,12,0
2016-01-17,19,3
2016-01-24,15,0
2016-01-31,18,0
2016-02-07,13,0
2016-02-14,7,0
2016-02-21,19,6
2016-02-28,15,0
2016-03-06,15,0
2016-03-13,2,0
2016-03-20,0,0
2016-03-27,29,0
2016-04-03,34,4
2016-04-10,29,0
2016-04-17,11,0
2016-04-24,18,0
2016-05-01,10,0
2016-05-08,9,0
2016-05-15,8,0
2016-05-22,5,0
2016-05-29,5,0
2016-06-05,15,0
2016-06-12,5,0
2016-06-19,3,0
2016-06-26,11,1
2016-07-03,6,0
2016-07-10,21,1
2016-07-17,23,3
2016-07-24,8,1
2016-07-31,9,1
2016-08-07,10,1
2016-08-14,11,1
2016-08-21,11,2
2016-08-28,11,3
2016-09-04,3,1
2016-09-11,10,0
2016-09-18,8,2
2016-09-25,6,0
2016-10-02,4,0
2016-10-09,2,1
2016-10-16,2,1
2016-10-23,1,0
2016-10-30,13,0
2016-11-06,4,0
