date	value
2016-01-03	10
2016-01-10	12
2016-01-17	19
2016-01-24	15
2016-01-31	18
2016-02-07	13
2016-02-14	7
2016-02-21	19
2016-02-28	15
2016-03-06	15
2016-03-13	2
2016-03-20	0
2016-03-27	29
2016-04-03	34
2016-04-10	29
2016-04-17	11
2016-04-24	18
2016-05-01	10
2016-05-08	9
2016-05-15	8
2016-05-22	5
2016-05-29	5
2016-06-05	15
2016-06-12	5
2016-06-19	3
2016-06-26	11
2016-07-03	6
2016-07-10	21
2016-07-17	23
2016-07-24	8
2016-07-31	9
2016-08-07	10
2016-08-14	11
2016-08-21	11
2016-08-28	11
2016-09-04	3
2016-09-11	10
2016-09-18	8
2016-09-25	6
2016-10-02	4
2016-10-09	2
2016-10-16	2
2016-10-23	1
2016-10-30	13
2016-11-06	4
